Sentence,Degree Centrality,Closeness Centrality,Betweenness Centrality
"Kini, tersisa delapan tim dari kategori putra dan putri yang akan memperebutkan trofi bergengsi Kapolri Cup 2024.",0.9444444444444444,0.9473684210526315,0.06051097792359514
"Pada babak 8 besar Kapolri Cup 2024, delapan tim dari kategori putra dan putri dibagi menjadi dua grup.",0.9444444444444444,0.9473684210526315,0.06051097792359514
"Baca Juga: Profil Yolla Yuliana, Atlet Voli Populer yang Berprestasi
Pertandingan Kapolri Cup 2024 disiarkan langsung di Vidio dan Moji TV.",0.8888888888888888,0.9,0.015594943877126316
"Kapolri Cup 2024 telah memasuki babak 8 besar dan akan digelar di GOR Terpadu A Yani, Pontianak pada 3-8 Oktober 2024.",0.8888888888888888,0.9,0.015594943877126316
"Berikut cara nonton Kapolri Cup 2024 di Vidio:
Itulah tadi jadwal lengkap Kapolri Cup 2024 dari babak 8 besar hingga final.",0.8888888888888888,0.9,0.015594943877126316
"Kamis, 3 Oktober
Jumat, 4 Oktober
Sabtu, 5 Oktober
Minggu, 6 Oktober
Senin, 7 Oktober
Selasa, 8 Oktober
Baca Juga: Profil Hany Budiarti, Serda TNI AU yang Bela Jakarta Pertamina Enduro
Babak semifinal Kapolri Cup 2024 akan digelar di GOR Terpadu A Yani, Pontianak pada Kamis, 10 Oktober 2024.",0.8888888888888888,0.9,0.015594943877126316
"Sebelumnya, sejumlah tim dari setiap provinsi telah berjuang di babak penyisihan hingga 16 besar.",0.8333333333333333,0.8571428571428571,0.02685624974627532
"Berikut pembagian grup 8 besar Kapolri Cup 2024:
Kategori Putra
Kategori Putri
Berikut jadwal 8 besar Kapolri Cup 2024 dari Kamis, 3 Oktober hingga Selasa, 8 Oktober 2024.",0.8333333333333333,0.8571428571428571,0.03166834586271927
"Baca Juga: Profil Nurlaili Kusumah, Pevoli Sekaligus TNI AL di Proliga 2024",0.7777777777777777,0.8181818181818182,0.011019780478433504
Berikut jadwal lengkap Kapolri Cup 2024 dari babak 8 besar hingga final.,0.7777777777777777,0.8181818181818182,0.003535353535353536
"Selanjutnya, kompetisi akan dilanjutkan ke babak semifinal hingga final pada 10-12 Oktober 2024 mendatang.",0.7777777777777777,0.8181818181818182,0.003535353535353536
Setiap tim akan memainkan tiga pertandingan melawan tim dari satu grup.,0.7777777777777777,0.8181818181818182,0.0168482207697894
"Berikut jadwal semifinal Kapolri Cup 2024:
Kemudian pertandingan perebutan peringkat tiga dan final Kapolri Cup 2024 akan diadakan pada 11 dan 12 Oktober 2024.",0.7222222222222222,0.782608695652174,0.002396514161220044
"Lalu, masing-masing juara dan runner up dari setiap grup akan melaju ke babak semifinal.",0.7222222222222222,0.782608695652174,0.003231663035584604
"Sang juara bertahan, Kalimantan Barat masih menjadi tim yang dijagokan kembali meraih juara di turnamen ini.",0.6666666666666666,0.75,0.016908212560386476
"Selain itu, pencinta voli juga bisa menonton live streaming Kapolri Cup 2024 melalui Vidio dengan membeli paket berlangganan seharga Rp39 ribu per bulan.",0.6666666666666666,0.75,0.006376946914031313
Masyarakat bisa menonton siaran langsungnya secara gratis di Moji TV melalui TV digital.,0.4444444444444444,0.6206896551724138,0.0014111705288175876
"Dukung tim jagoanmu, ya!",0.2777777777777778,0.5806451612903226,0.0
"Regional
Kategori
Event
DOWNLOAD IDN APP SEKARANG!",0.16666666666666666,0.5294117647058824,0.0
